Title,Price,Rating,Image,Type
"Lenovo {SmartChoice Chromebook, Intel Celeron N4500, 4GB RAM, 64GB eMMC, HD, 11.6""/29.46cm, Chrome OS, Blue, 1.21Kg, 2Wx2 Stereo Speakers, HD Camera, 82UY0014HA, Laptop","21,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61aQ9BYq89L._AC_UY218_.jpg,Organic
"ASUS TUF A15 (2025) AMD Ryzen 7 7445HS,Gaming Laptop,RTX 3050-4GB,75W TGP,16GB RAM (Upgradeable Upto 64GB) 1TB SSD,FHD,15.6"",144Hz,48Whrs,M365 Basic (1Year)*,Office 2024,Black,2.3 Kg,FA506NCG-HN251WS","75,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/815OXLbHBjL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo","67,900",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,Organic
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","79,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg,Ad
"HP HyperX OMEN 15, AMD Ryzen 7 260, 8GB-RTX 5050, 24GB DDR5 (Upgradeable), 1TB SSD, 180Hz, 2.5K, 500 nits, 3ms resp time, 15.3''/38.9cm, Win11, Office24, Black, 2.42kg, gb0038AX, RGB, AI Gaming Laptop","1,49,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71uj3RNcdrL._AC_UY218_.jpg,Ad
"HP HyperX OMEN 15, AMD Ryzen 7 260, 8GB-RTX 5050, 24GB DDR5 (Upgradeable), 1TB SSD, 180Hz, 2.5K, 500 nits, 3ms resp time, 15.3''/38.9cm, Win11, Office24, Black, 2.42kg, gb0038AX, RGB, AI Gaming Laptop","1,49,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71uj3RNcdrL._AC_UY218_.jpg,Ad
"Dell 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare FHD 15.6""/39.62cm, Windows 11, Microsoft Office Home 2024, Grey, 1.66kg, [Vostro 3530], 12 Month McAfee, Thin & Light Laptop","66,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/712WiT-wexL._AC_UY218_.jpg,Ad
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop","55,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71zMooVIVAL._AC_UY218_.jpg,Organic
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen |8GB DDR4 RAM |256GB SSD |14"" Full HD Display |Win 10 | A+ Condition Laptop (Refab) 𝐍𝐨𝐂𝐨𝐬𝐭𝐄𝐌𝐈","30,499",N/A,https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,Organic
"acer Professional 14, AMD Ryzen 3-7330U, 8 GB RAM, 512 GB SSD, Full HD 14"", Windows 11 Pro, MSO21, Pro Silver, 1.39 KG, Professional Premium Laptop, Travel Lite","41,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51xKQHXurwL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo","67,900",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,Organic
"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","36,990",3.4 out of 5 stars,https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue","1,11,490",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71kKQjKzW1L._AC_UY218_.jpg,Organic
